,3PAr,Age,DRB%,DRtg,Defense Four Factors,FT/FGA,FTr,L,MOV,ORB%,ORtg,Offense Four Factors,PL,PW,Pace,Rk,SOS,SRS,TOV%,TS%,Team,W,eFG%
23,24.6,7.49,"17,461",.573,59,.205,13.6,7.12,+8.1,77.4,.350,Orlando Magic *,103.3,111.4,.536,61,92.0,.340,"715,901",.246,21,-0.37,Amway Arena
21,25.1,6.52,"20,562",.570,61,.218,13.4,6.17,+7.1,77.2,.248,Cleveland Cavaliers *,104.1,111.2,.532,59,91.4,.341,"843,042",.246,23,-0.36,Quicken Loans Arena
29,26.8,5.34,"19,378",.565,53,.269,14.2,5.33,+5.7,75.6,.184,Utah Jazz *,105.0,110.7,.524,55,93.8,.340,"794,512",.252,27,-0.01,EnergySolutions Arena
32,26.8,5.09,"18,090",.552,50,.214,12.9,5.07,+5.5,76.3,.232,San Antonio Spurs *,104.5,110.0,.515,55,91.7,.296,"741,676",.219,27,-0.02,AT&T Center
29,28.2,4.66,"16,546",.545,53,.208,11.4,4.44,+5.2,72.7,.214,Atlanta Hawks *,106.7,111.9,.506,54,90.1,.281,"678,375",.213,28,-0.22,Philips Arena
28,27.6,4.90,"17,648",.585,54,.224,13.6,4.67,+5.1,70.8,.261,Phoenix Suns *,110.2,115.3,.546,54,95.3,.312,"723,582",.240,28,-0.23,US Airways Center
25,27.6,4.72,"18,997",.538,57,.195,12.4,4.78,+5.1,74.4,.227,Los Angeles Lakers *,103.7,108.8,.496,54,92.8,.289,"778,877",.221,28,0.06,STAPLES Center
29,26.1,4.09,"17,983",.561,53,.251,12.7,4.15,+4.3,72.4,.227,Denver Nuggets *,107.5,111.8,.509,52,94.8,.376,"737,301",.290,30,0.06,Pepsi Center
32,22.8,3.66,"18,624",.564,50,.251,14.5,3.37,+3.9,73.8,.228,Boston Celtics *,103.8,107.7,.522,52,91.6,.332,"763,584",.248,30,-0.29,TD Garden
32,28.2,3.30,"20,497",.547,50,.219,12.1,3.18,+3.7,74.8,.215,Portland Trail Blazers *,107.1,110.8,.499,51,87.7,.315,"840,371",.249,31,-0.13,Rose Garden Arena
32,28.6,3.49,"18,004",.547,50,.229,13.9,3.55,+3.7,73.6,.185,Oklahoma City Thunder *,104.6,108.3,.494,51,93.1,.333,"738,149",.268,31,0.06,Oklahoma City Arena
27,24.3,2.72,"19,994",.552,55,.206,12.3,2.66,+2.9,73.7,.222,Dallas Mavericks *,106.3,109.2,.506,49,92.5,.277,"819,770",.226,33,-0.06,American Airlines Center
35,26.1,2.28,"17,730",.537,47,.246,12.8,1.99,+2.5,74.9,.219,Miami Heat *,104.1,106.6,.496,48,89.6,.296,"726,935",.223,34,-0.29,AmericanAirlines Arena
36,26.2,1.70,"15,109",.518,46,.266,12.3,1.37,+1.8,76.4,.259,Milwaukee Bucks *,103.1,104.9,.482,46,91.7,.239,"619,453",.181,36,-0.32,Bradley Center
