",,,","3PAr,","Age,","Arena,","Attend.,","Attend./G,","DRB%,","DRtg,","Defense Four Factors,","FT/FGA,","L,","MOV,","NRtg,","ORtg,","Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,","PL,","PW,","Pace,","Rk,","SOS,","SRS,","TOV%,","TS%,","Team,","W,","eFG%,"
1,.536,61,Amway Arena,"715,901","17,461",.205,.340,27.9,.477,7.49,111.4,.350,92.0,Orlando Magic *,7.12,-0.37,.573,59,103.3,+8.1,77.4,13.6,23,21,12.2
2,.532,59,Quicken Loans Arena,"843,042","20,562",.218,.341,28.0,.482,6.52,111.2,.248,91.4,Cleveland Cavaliers *,6.17,-0.36,.570,61,104.1,+7.1,77.2,13.4,21,23,12.3
3,.524,55,EnergySolutions Arena,"794,512","19,378",.269,.340,25.6,.492,5.34,110.7,.184,93.8,Utah Jazz *,5.33,-0.01,.565,53,105.0,+5.7,75.6,14.2,29,27,14.2
4,.515,55,AT&T Center,"741,676","18,090",.214,.296,28.7,.483,5.09,110.0,.232,91.7,San Antonio Spurs *,5.07,-0.02,.552,50,104.5,+5.5,76.3,12.9,32,27,12.1
5,.506,54,Philips Arena,"678,375","16,546",.208,.281,26.5,.496,4.66,111.9,.214,90.1,Atlanta Hawks *,4.44,-0.22,.545,53,106.7,+5.2,72.7,11.4,29,28,13.2
6,.546,54,US Airways Center,"723,582","17,648",.224,.312,28.5,.491,4.90,115.3,.261,95.3,Phoenix Suns *,4.67,-0.23,.585,54,110.2,+5.1,70.8,13.6,28,28,11.6
7,.496,54,STAPLES Center,"778,877","18,997",.195,.289,28.4,.484,4.72,108.8,.227,92.8,Los Angeles Lakers *,4.78,0.06,.538,57,103.7,+5.1,74.4,12.4,25,28,13.2
8,.509,52,Pepsi Center,"737,301","17,983",.251,.376,27.7,.495,4.09,111.8,.227,94.8,Denver Nuggets *,4.15,0.06,.561,53,107.5,+4.3,72.4,12.7,29,30,13.8
9,.522,52,TD Garden,"763,584","18,624",.251,.332,29.4,.487,3.66,107.7,.228,91.6,Boston Celtics *,3.37,-0.29,.564,50,103.8,+3.9,73.8,14.5,32,30,14.9
10,.499,51,Rose Garden Arena,"840,371","20,497",.219,.315,26.6,.502,3.30,110.8,.215,87.7,Portland Trail Blazers *,3.18,-0.13,.547,50,107.1,+3.7,74.8,12.1,32,31,13.3
11,.494,51,Oklahoma City Arena,"738,149","18,004",.229,.333,23.2,.483,3.49,108.3,.185,93.1,Oklahoma City Thunder *,3.55,0.06,.547,50,104.6,+3.7,73.6,13.9,32,31,14.0
12,.506,49,American Airlines Center,"819,770","19,994",.206,.277,30.7,.495,2.72,109.2,.222,92.5,Dallas Mavericks *,2.66,-0.06,.552,55,106.3,+2.9,73.7,12.3,27,33,13.6
13,.496,48,AmericanAirlines Arena,"726,935","17,730",.246,.296,27.1,.480,2.28,106.6,.219,89.6,Miami Heat *,1.99,-0.29,.537,47,104.1,+2.5,74.9,12.8,35,34,13.9
14,.482,46,Bradley Center,"619,453","15,109",.266,.239,26.4,.486,1.70,104.9,.259,91.7,Milwaukee Bucks *,1.37,-0.32,.518,46,103.1,+1.8,76.4,12.3,36,36,14.6
